timestamp,funding_rate,mark_price
2025-08-08 16:00:00+00:00,0.00007973,116170.72810417
2025-08-09 00:00:00.005000+00:00,0.00008835,116628.20000000
2025-08-09 08:00:00+00:00,0.00009087,116703.20000000
2025-08-09 16:00:00.007000+00:00,0.00005151,116839.01276667
2025-08-10 00:00:00.003000+00:00,0.00009849,116422.00000000
2025-08-10 08:00:00.005000+00:00,0.00010000,117770.10000000
2025-08-10 16:00:00.002000+00:00,0.00010000,118773.19905000
2025-08-11 00:00:00+00:00,0.00010000,119255.30000000
2025-08-11 08:00:00+00:00,0.00010000,121533.48500000
2025-08-11 16:00:00+00:00,0.00010000,120276.94746739
2025-08-12 00:00:00+00:00,0.00010000,118642.12869203
2025-08-12 08:00:00.001000+00:00,0.00007988,118931.90000000
2025-08-12 16:00:00.005000+00:00,0.00008543,119887.90000000
2025-08-13 00:00:00+00:00,0.00007123,120081.00000000
2025-08-13 08:00:00.002000+00:00,0.00010000,119546.71040942
2025-08-13 16:00:00.006000+00:00,0.00010000,120907.16175725
2025-08-14 00:00:00.002000+00:00,0.00010000,123324.00000000
2025-08-14 08:00:00.003000+00:00,0.00010000,121739.29889855
2025-08-14 16:00:00+00:00,0.00010000,118206.50000000
2025-08-15 00:00:00+00:00,0.00001939,118245.12016304
2025-08-15 08:00:00+00:00,0.00007990,118908.40000000
2025-08-15 16:00:00+00:00,0.00003722,117224.26810507
2025-08-16 00:00:00.004000+00:00,0.00008850,117282.05060833
2025-08-16 08:00:00+00:00,0.00008268,117543.60000000
2025-08-16 16:00:00.002000+00:00,0.00009023,117626.90000000
2025-08-17 00:00:00+00:00,0.00008206,117333.60187083
2025-08-17 08:00:00.001000+00:00,0.00004680,117949.90000000
2025-08-17 16:00:00.007000+00:00,0.00001862,118193.93730833
2025-08-18 00:00:00+00:00,0.00002846,117358.84539167
2025-08-18 08:00:00.001000+00:00,-0.00000682,115153.20000000
2025-08-18 16:00:00.002000+00:00,0.00005296,116099.90000000
2025-08-19 00:00:00+00:00,0.00007137,116183.60000000
2025-08-19 08:00:00.001000+00:00,0.00006262,114928.80000000
2025-08-19 16:00:00+00:00,0.00003167,113730.00000000
2025-08-20 00:00:00+00:00,0.00004543,112829.16656522
2025-08-20 08:00:00+00:00,0.00001364,113436.70000000
2025-08-20 16:00:00+00:00,0.00004936,113293.10000000
2025-08-21 00:00:00.006000+00:00,0.00001143,114221.25347464
2025-08-21 08:00:00+00:00,0.00007757,113836.80000000
2025-08-21 16:00:00.003000+00:00,0.00007414,112748.90000000
2025-08-22 00:00:00.010000+00:00,0.00007296,112461.50000000
2025-08-22 08:00:00.007000+00:00,0.00010000,113040.10000000
2025-08-22 16:00:00.001000+00:00,0.00005867,116319.30000000
2025-08-23 00:00:00.004000+00:00,0.00010000,116897.50000000
2025-08-23 08:00:00.006000+00:00,0.00010000,115769.90000000
2025-08-23 16:00:00+00:00,0.00009711,114778.21648188
2025-08-24 00:00:00.001000+00:00,0.00010000,115377.10000000
2025-08-24 08:00:00.002000+00:00,0.00010000,114854.80000000
2025-08-24 16:00:00.001000+00:00,0.00010000,114374.99972826
2025-08-25 00:00:00+00:00,0.00010000,113446.30000000
2025-08-25 08:00:00.002000+00:00,0.00010000,111472.55518478
2025-08-25 16:00:00.002000+00:00,0.00008344,112139.10000000
2025-08-26 00:00:00+00:00,0.00004522,110064.58160507
2025-08-26 08:00:00+00:00,0.00003900,110246.49650362
2025-08-26 16:00:00+00:00,0.00010000,109634.08811594
2025-08-27 00:00:00.003000+00:00,0.00001802,111709.90000000
2025-08-27 08:00:00+00:00,0.00005503,110688.00000000
2025-08-27 16:00:00.009000+00:00,0.00003496,111965.10000000
2025-08-28 00:00:00+00:00,0.00005297,111207.83953261
2025-08-28 08:00:00.005000+00:00,0.00009693,113079.30000000
2025-08-28 16:00:00.004000+00:00,0.00007512,112642.41909420
2025-08-29 00:00:00+00:00,0.00004261,112509.45998913
2025-08-29 08:00:00+00:00,0.00005856,109989.38102899
2025-08-29 16:00:00.005000+00:00,0.00000644,108340.72792754
2025-08-30 00:00:00+00:00,0.00007523,108332.40000000
2025-08-30 08:00:00.002000+00:00,0.00007979,108466.70000000
2025-08-30 16:00:00.003000+00:00,0.00008042,108830.00000000
2025-08-31 00:00:00.016000+00:00,-0.00001232,108758.15376812
2025-08-31 08:00:00+00:00,0.00004749,108658.20000000
2025-08-31 16:00:00.001000+00:00,0.00010000,108763.86765217
2025-09-01 00:00:00+00:00,0.00004660,108208.30000000
2025-09-01 08:00:00+00:00,0.00010000,109367.80000000
2025-09-01 16:00:00.001000+00:00,0.00004963,108737.90000000
2025-09-02 00:00:00+00:00,0.00006946,109193.10473913
2025-09-02 08:00:00.005000+00:00,0.00008805,110190.10000000
2025-09-02 16:00:00.007000+00:00,0.00006356,110789.90000000
2025-09-03 00:00:00.006000+00:00,0.00000767,111189.75470652
2025-09-03 08:00:00.002000+00:00,0.00005127,111045.87517029
2025-09-03 16:00:00.002000+00:00,0.00002344,112171.59743478
2025-09-04 00:00:00.002000+00:00,0.00001808,111664.20931522
2025-09-04 08:00:00+00:00,0.00004385,110417.30000000
2025-09-04 16:00:00+00:00,0.00007941,109464.10000000
2025-09-05 00:00:00.001000+00:00,0.00007532,110679.50000000
2025-09-05 08:00:00.006000+00:00,0.00010000,112906.33317391
2025-09-05 16:00:00+00:00,0.00007872,110672.10000000
2025-09-06 00:00:00+00:00,0.00001297,110614.90000000
2025-09-06 08:00:00.005000+00:00,0.00005660,110779.90000000
2025-09-06 16:00:00+00:00,0.00005110,110324.20000000
2025-09-07 00:00:00+00:00,0.00001970,110135.30000000
2025-09-07 08:00:00+00:00,0.00003611,110710.80000000
2025-09-07 16:00:00+00:00,0.00006969,111280.66566667
2025-09-08 00:00:00.007000+00:00,0.00009404,111079.27970290
2025-09-08 08:00:00+00:00,0.00006682,111236.40000000
2025-09-08 16:00:00+00:00,0.00007311,112574.15101812
2025-09-09 00:00:00+00:00,0.00003799,112015.09961957
2025-09-09 08:00:00+00:00,0.00010000,112952.16761594
2025-09-09 16:00:00+00:00,0.00010000,110830.10000000
2025-09-10 00:00:00+00:00,0.00005805,111500.00000000
2025-09-10 08:00:00.002000+00:00,0.00005026,112503.82111957
2025-09-10 16:00:00+00:00,0.00010000,113795.60000000
2025-09-11 00:00:00+00:00,0.00005843,113899.89001087
2025-09-11 08:00:00+00:00,0.00004283,114040.00000000
2025-09-11 16:00:00.001000+00:00,0.00003326,114133.27146739
2025-09-12 00:00:00.002000+00:00,0.00006137,115426.90000000
2025-09-12 08:00:00.001000+00:00,0.00003768,115049.00000000
2025-09-12 16:00:00.005000+00:00,0.00006891,115064.80000000
2025-09-13 00:00:00.005000+00:00,-0.00001554,115978.40000000
2025-09-13 08:00:00.002000+00:00,0.00002251,115719.33161349
2025-09-13 16:00:00+00:00,0.00003137,115721.30000000
2025-09-14 00:00:00.006000+00:00,0.00008182,115865.61246739
2025-09-14 08:00:00+00:00,0.00004780,115747.96161957
2025-09-14 16:00:00.001000+00:00,0.00003115,115191.27874724
2025-09-15 00:00:00.006000+00:00,0.00006207,115227.83664493
2025-09-15 08:00:00.002000+00:00,0.00008259,115769.60000000
2025-09-15 16:00:00.001000+00:00,0.00008189,114805.44046377
2025-09-16 00:00:00.001000+00:00,0.00000997,115300.60000000
2025-09-16 08:00:00+00:00,0.00006991,115799.40000000
2025-09-16 16:00:00+00:00,0.00006472,115878.00000000
